('im',):   8282 
('forward',):    460 
('anyone',):    460 
('free',):    458 
('enjoy',):    457 
('totally',):    455 
('lunch',):    455 
('theres',):    450 
('so',):    449 
('iphone',):    448 
('cause',):    446 
('coffee',):    446 
('weeks',):    445 
('on',):    444 
('thinking',):    442 
('everything',):    442 
('outside',):    438 
('were',):    435 
('shes',):    435 
('eat',):    434 
('wasnt',):    433 
('every',):    432 
('shit',):    432 
('hell',):    430 
('without',):    430 
('followers',):    428 
('welcome',):    427 
('stay',):    426 
('whole',):    422 
('buy',):    419 
('family',):    418 
('following',):    414 
('wrong',):    413 
('r',):    413 
('tweets',):    413 
('real',):    412 
('mine',):    412 
('just',):    410 
('room',):    409 
('stupid',):    406 
('anymore',):    402 
('w',):    399 
('couldnt',):    396 
('says',):    395 
('sooo',):    395 
('seen',):    392 
('wants',):    392 
('enough',):    391 
('this',):    390 
('tv',):    389 
('hahaha',):    389 
('beach',):    385 
('xx',):    385 
('money',):    384 
('forgot',):    376 
('came',):    374 
('class',):    374 
('lovely',):    374 
('awww',):    370 
('probably',):    368 
('kids',):    365 
('them',):    364 
('name',):    364 
('busy',):    363 
('idea',):    360 
('lets',):    360 
('win',):    360 
('10',):    359 
('exam',):    358 
('eating',):    356 
('crazy',):    355 
('took',):    355 
('lots',):    354 
('talking',):    354 
('meet',):    353 
('dad',):    351 
('ha',):    347 
('taking',):    347 
('super',):    346 
('place',):    346 
('hello',):    344 
('hopefully',):    344 
('face',):    343 
('rest',):    342 
('news',):    341 
('pic',):    341 
('years',):    341 
('needs',):    339 
('goodnight',):    338 
('seeing',):    337 
('else',):    335 
('reading',):    335 
('alone',):    334 
('post',):    334 
('feels',):    332 
('true',):    330 
('able',):    330 
('run',):    329 
('either',):    329 
('in',):    328 
('send',):    327 
('theyre',):    326 
('sitting',):    326 
('seems',):    326 
('saturday',):    325 
('half',):    323 
('guy',):    323 
('heard',):    323 
('hehe',):    323 
('btw',):    321 
('cuz',):    321 
('tried',):    321 
('book',):    320 
('the',):    320 
('ah',):    319 
('stuck',):    317 
('blog',):    316 
('kinda',):    315 
('headache',):    314 
('loved',):    313 
('trip',):    313 
('ago',):    313 
('kind',):    312 
('internet',):    311 
('girls',):    311 
('hit',):    311 
('hurt',):    311 
('leaving',):    311 
('to',):    310 
('used',):    309 
('computer',):    309 
('6',):    307 
('mind',):    307 
('soo',):    306 
('full',):    306 
('dog',):    306 
('boo',):    305 
('goes',):    303 
('started',):    302 
('quite',):    301 
('raining',):    301 
('my',):    300 
('course',):    299 
('b',):    298 
('cry',):    298 
('picture',):    298 
('fuck',):    296 
('part',):    295 
('awake',):    294 
('til',):    294 
('break',):    294 
('heart',):    294 
('shopping',):    293 
('youll',):    291 
('remember',):    290 
('fine',):    290 
('office',):    289 
('boy',):    286 
('starting',):    284 
('la',):    284 
('off',):    284 
('change',):    283 
('watched',):    282 
('email',):    281 
('mileycyrus',):    280 
('minutes',):    279 
('bought',):    278 
('seriously',):    278 
('site',):    277 
('using',):    276 
('broke',):    276 
('concert',):    275 
('can',):    274 
('june',):    273 
('told',):    273 
('wake',):    272 
('sunny',):    272 
('exams',):    272 
('online',):    272 
('pics',):    271 
('gets',):    270 
('fan',):    270 
('care',):    268 
('30',):    267 
('him',):    266 
('pain',):    266 
('person',):    266 
('wonderful',):    264 
('facebook',):    264 
('pay',):    264 
('8',):    264 
('bring',):    262 
('boring',):    261 
('add',):    261 
('enjoying',):    260 
('crap',):    259 
('update',):    259 
('train',):    259 
('called',):    259 
('season',):    259 
('drive',):    258 
('dude',):    257 
('lmao',):    257 
('favorite',):    257 
('ass',):    256 
('am',):    256 
('aw',):    256 
('open',):    255 
('walk',):    255 
('definitely',):    254 
('ask',):    254 
('over',):    254 
('bday',):    253 
('what',):    252 
('together',):    252 
('heading',):    251 
