('i',):  47337 
('job',):    534 
('stop',):    527 
('put',):    526 
('luck',):    525 
('check',):    524 
('leave',):    524 
('god',):    522 
('monday',):    520 
('gone',):    520 
('may',):    519 
('talk',):    517 
('music',):    517 
('whats',):    515 
('till',):    514 
('their',):    514 
('poor',):    513 
('head',):    510 
('5',):    509 
('most',):    507 
('beautiful',):    506 
('playing',):    504 
('anything',):    501 
('sunday',):    500 
('cold',):    500 
('woke',):    496 
('almost',):    495 
('mom',):    494 
('believe',):    492 
('least',):    491 
('okay',):    488 
('use',):    488 
('missing',):    485 
('cute',):    482 
('tho',):    481 
('times',):    478 
('hour',):    476 
('dinner',):    475 
('hair',):    473 
('listening',):    471 
('mean',):    471 
('funny',):    470 
('far',):    466 
('end',):    465 
('finished',):    464 
('wanted',):    463 
('hurts',):    463 
('video',):    462 
('sweet',):    461 
('food',):    460 
('forward',):    460 
('anyone',):    460 
('free',):    458 
('enjoy',):    457 
('totally',):    455 
('lunch',):    455 
('which',):    452 
('theres',):    450 
('iphone',):    448 
('cause',):    446 
('coffee',):    446 
('weeks',):    445 
('thinking',):    442 
('everything',):    442 
('outside',):    438 
('shes',):    435 
('eat',):    434 
('wasnt',):    433 
('every',):    432 
('shit',):    432 
('hell',):    430 
('without',):    430 
('through',):    428 
('followers',):    428 
('welcome',):    427 
('stay',):    426 
('whole',):    422 
('buy',):    419 
('family',):    418 
('following',):    414 
('wrong',):    413 
('r',):    413 
('these',):    413 
('once',):    413 
('tweets',):    413 
('real',):    412 
('mine',):    412 
('room',):    409 
('stupid',):    406 
('anymore',):    402 
('w',):    399 
('couldnt',):    396 
('says',):    395 
('sooo',):    395 
('seen',):    392 
('wants',):    392 
('enough',):    391 
('tv',):    389 
('hahaha',):    389 
('beach',):    385 
('xx',):    385 
('money',):    384 
('forgot',):    376 
('came',):    374 
('class',):    374 
('lovely',):    374 
('awww',):    370 
('probably',):    368 
('kids',):    365 
('name',):    364 
('busy',):    363 
('idea',):    360 
('lets',):    360 
('win',):    360 
('10',):    359 
('exam',):    358 
('eating',):    356 
('crazy',):    355 
('took',):    355 
('lots',):    354 
('talking',):    354 
('meet',):    353 
('dad',):    351 
('both',):    348 
('ha',):    347 
('taking',):    347 
('super',):    346 
('place',):    346 
('hello',):    344 
('hopefully',):    344 
('face',):    343 
('rest',):    342 
('news',):    341 
('pic',):    341 
('years',):    341 
('needs',):    339 
('goodnight',):    338 
('seeing',):    337 
('else',):    335 
('reading',):    335 
('alone',):    334 
('post',):    334 
('feels',):    332 
('true',):    330 
('able',):    330 
('d',):    330 
('run',):    329 
('either',):    329 
('send',):    327 
('theyre',):    326 
('sitting',):    326 
('seems',):    326 
('saturday',):    325 
('half',):    323 
('guy',):    323 
('heard',):    323 
('hehe',):    323 
('btw',):    321 
('cuz',):    321 
('tried',):    321 
('book',):    320 
('ah',):    319 
('stuck',):    317 
('o',):    317 
('blog',):    316 
('kinda',):    315 
('headache',):    314 
('loved',):    313 
('trip',):    313 
('ago',):    313 
('kind',):    312 
('internet',):    311 
('girls',):    311 
('hit',):    311 
('hurt',):    311 
('leaving',):    311 
('used',):    309 
('computer',):    309 
('6',):    307 
('mind',):    307 
('soo',):    306 
('full',):    306 
('dog',):    306 
('boo',):    305 
('goes',):    303 
('started',):    302 
